Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,Al,V,Ta,Ti,Co,Mg,Y,Zr,Hf,Mahalanobis_sq,empirical_tail_prob,dataset,UMAP Component 1,UMAP Component 2
21.05931589769223,29.32188193594872,33.80936172608322,11.33506169200627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.474378748269556,0.0,0.0,0.0,0.0,0.0,15.192784809036601,0.1949509116409537,new NiCrMoTiFe data,-1.5006286,11.632355
21.38449445236935,26.75493744727493,30.80309232937815,14.61315841043162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.444317360545956,0.0,0.0,0.0,0.0,0.0,25.30246074562677,0.11781206171107994,new NiCrMoTiFe data,-1.4262307,12.014699
19.79697020692051,17.07053042259378,60.47274407694169,2.127756037006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5319992565380067,0.0,0.0,0.0,0.0,0.0,4.691549562397254,0.5638148667601683,new NiCrMoTiFe data,-3.0409014,10.637991
21.48203443327129,19.81963700745474,55.11019986941908,2.952438189314062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6356905005408267,0.0,0.0,0.0,0.0,0.0,4.001349721965543,0.638148667601683,new NiCrMoTiFe data,-2.6831899,10.868869
22.47631622738632,21.10763041551644,49.48554879162086,5.80868725953725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.121817305939112,0.0,0.0,0.0,0.0,0.0,3.81379892184777,0.6591865357643759,new NiCrMoTiFe data,-2.3830607,11.203372
24.35763244318183,23.1342762500515,46.36788004968805,4.638314862611241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50189639446737,0.0,0.0,0.0,0.0,0.0,4.308052667602761,0.5848527349228612,new NiCrMoTiFe data,-2.1805384,11.243282
25.62064236797445,24.03624459585487,41.97813069728873,6.326179121394539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.038803217487418,0.0,0.0,0.0,0.0,0.0,5.081591893976331,0.5483870967741935,new NiCrMoTiFe data,-2.0026903,11.426289
25.92967709475499,24.05215305523166,38.37767536798972,8.241916587025901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39857789499773,0.0,0.0,0.0,0.0,0.0,8.628563939007641,0.38288920056100983,new NiCrMoTiFe data,-1.7863874,11.6935005
26.19588155013293,23.85042246394621,34.94838751010904,10.21302186693367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.79228660887816,0.0,0.0,0.0,0.0,0.0,14.26825054322787,0.2005610098176718,new NiCrMoTiFe data,-1.5243405,11.988381
25.87267490890685,22.74622041857604,31.94339759241375,12.21093470231118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.226772377792192,0.0,0.0,0.0,0.0,0.0,28.80821578936508,0.11079943899018233,new NiCrMoTiFe data,-1.3171855,12.269817
